,CAS,CAS_primary,CFR,CODEX ALIMENTARIUS (GSFA),DEA NO.,DRUG BANK,ECHA (EC/EINECS),EMA ASSESSMENT REPORTS,EPA PESTICIDE CODE,EVMPD,"Food Contact Sustance Notif, (FCN No.)",INN,IUPHAR,JECFA EVALUATION,JECFA MONOGRAPH,LIVERTOX,MERCK INDEX,MESH,NCI_THESAURUS,NDF-RT,RXCUI,UNII,WHO INTERNATIONAL PHARMACPOEIA,WHO-ATC,WHO-ESSENTIAL MEDICINES LIST,WHO-VATC,WIKIPEDIA,mixture_UNII,names,preferred_names,substanceClass,uuid,PT_from_unii,RN_from_unii,EC_from_unii,NCIT_from_unii,RXCUI_from_unii,ITIS_from_unii,NCBI_from_unii,PLANTS_from_unii,GRIN_from_unii,INN_ID_from_unii,MF_from_unii,INCHIKEY_from_unii,SMILES_from_unii,UNII_TYPE_from_unii,qid_cas,qid_unii,inchikey_from_wd,inchikey
27074,56001-37-7,56001-37-7,,,,,,,,,,,,,,,,,,,,F10A90P18X,,,,,,,"DISODIUM GUANOSINE TRIPHOSPHATE|GUANOSINE 5'-(TETRAHYDROGEN TRIPHOSPHATE), SODIUM SALT (1:2)|GUANOSINE 5'-(TETRAHYDROGEN TRIPHOSPHATE), DISODIUM SALT|DISODIUM 5'-GTP|GTP DISODIUM SALT|DISODIUM GUANOSINE 5'-TRIPHOSPHATE",DISODIUM GUANOSINE TRIPHOSPHATE,chemical,7c263fc8-78a2-41aa-ae6e-be9fbd90f746,DISODIUM GUANOSINE TRIPHOSPHATE,56001-37-7,,,,,,,,,C10H12N5O14P3.2H+.2Na,,,INGREDIENT SUBSTANCE,,,,
27095,1805788-79-7,1805788-79-7,,,7031,,,,,,,,,,,,,,,,,5F9TF0B4DT,,,,,,,"J3.369.872K|N-(1-AMINO-3-METHYL-1-OXOBUTAN-2-YL)-1-(CYCLOHEXYLMETHYL)-1H-INDAZOLE-3-CARBOXAMIDE|AB-CHMINACA, (+/-)-","AB-CHMINACA, (+/-)-",chemical,7c3d69a5-7abd-4a96-b6ba-2671a36ea8a3,"AB-CHMINACA, (+/-)-",1805788-79-7,,,,,,,,,C20H28N4O2,,CC(C)C(C(=O)N)NC(=O)c1c2ccccc2n(n1)CC3CCCCC3,INGREDIENT SUBSTANCE,,,,
27111,6988-81-4,6988-81-4,,,,,,,,,,,,,,,,,,,,AA9G36JBHT,,,,,,,"PETUNIDIN MONOGLUCOSIDE|1-BENZOPYRYLIUM, 2-(3,4-DIHYDROXY-5-METHOXYPHENYL)-3,5,7-TRIHYDROXY-, CHLORIDE (1:1), MONO-.BETA.-D-GLUCOPYRANOSIDE|1-BENZOPYRYLIUM, 2-(3,4-DIHYDROXY-5-METHOXYPHENYL)-3-(.BETA.-D-GLUCOPYRANOSYLOXY)-5,7-DIHYDROXY-, CHLORIDE (1:1)|PETUNIDIN 3-MONOGLUCOSIDE|PETUNIDIN-3-O-GLUCOSIDE|PETUNIDIN 3-GLUCOSIDE",PETUNIDIN 3-GLUCOSIDE,chemical,7c4e9d2f-6187-44bd-bfc6-f37bb00a198c,PETUNIDIN 3-GLUCOSIDE,6988-81-4,,,,,,,,,C22H23O12.Cl,HBKZHMZCXXQMOX-YATQZQGFSA-N,COc1cc(cc(c1O)O)c2c(cc3c(cc(cc3[o+]2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O.[Cl-],INGREDIENT SUBSTANCE,Q7179425,Q7179425,CCQDWIRWKWIUKK-QKYBYQKWSA-O,
27120,19545-26-7,19545-26-7,,,,,,,,,,,,,,,M11521,,,,,XVA4O219QW,,,,,,,"WORTMANNIN|3H-FURO(4,3,2-DE)INDENO(4,5-H)-2-BENZOPYRAN-3,6,9-TRIONE, 11-(ACETYLOXY)-1,6B,7,8,9A,10,11,11B-OCTAHYDRO-1-(METHOXYMETHYL)-9A,11B-DIMETHYL-, (1S,6BR,9AS,11R,11BR)-|(+)-WORTMANNIN|KY-12420|NSC-627609|SL-2052",WORTMANNIN,chemical,7c5a4b3b-f780-4808-973c-4ff9ca57ca46,WORTMANNIN,19545-26-7,,,,,,,,,C23H24O8,QDLHCMPXEPAAMD-QAIWCSMKSA-N,CC(=O)O[C@@H]1C[C@]2([C@@H](CCC2=O)C3=C1[C@@]4(c5c(coc5C3=O)C(=O)O[C@@H]4COC)C)C,INGREDIENT SUBSTANCE,Q423565,Q423565,QDLHCMPXEPAAMD-UHFFFAOYSA-N,
27162,71628-96-1,71628-96-1,,,,,,,,SUB08742MIG,,5230.0,,,,,M813,D017290,C1389,,,8JSV4O30HQ,,,,,MENOGARIL,,"MENOGARIL|NSC-269148|U-52047|2,6-EPOXY-2H-NAPHTHACENO(1,2-B)OXOCIN-9,16-DIONE, 4-(DIMETHYLAMINO)-3,4,5,6,11,12,13,14-OCTAHYDRO-3,5,8,10,13-PENTAHYDROXY-11-METHOXY-6,13-DIMETHYL-, (2R,3S,4R,5R,6R,11R,13R)-|2,6-EPOXY-2H-NAPHTHACENO(1,2-B)OXOCIN-9,16-DIONE, 4-(DIMETHYLAMINO)-3,4,5,6,11,12,13,14-OCTAHYDRO-3,5,8,10,13-PENTAHYDROXY-11-METHOXY-6,13-DIMETHYL-, (2R-(2.ALPHA.,3.BETA.,4.ALPHA.,5.BETA.,6.ALPHA.,11.ALPHA.,13.ALPHA.))-|7(R)-O-METHYLNOGAROL|7-CON-O-METHYLNOGAROL|7-O-METHYLNOGAROL|TUT-7|7-OMEN|مينوغاريل|ménogaril|menogarilum|美诺立尔|menogarilo|меногарил",MENOGARIL,chemical,7c8ac312-0d57-4974-9b7e-89cc644b6006,MENOGARIL,71628-96-1,,C1389,,,,,,5230.0,C28H31NO10,LWYJUZBXGAFFLP-AOZXJLOUSA-N,C[C@]1(Cc2cc3c(c(c2[C@@H](C1)OC)O)C(=O)c4c(cc5c(c4C3=O)O[C@H]6[C@H]([C@@H]([C@H]([C@@]5(O6)C)O)N(C)C)O)O)O,INGREDIENT SUBSTANCE,Q6817231,Q6817231,LWYJUZBXGAFFLP-OCNCTQISSA-N,
27173,6035-40-1,6035-40-1,,,,,,,,,,,,,,,M8077,,,,,A4C6WE7BZN,,,,,,,"NOSCAPINE, (+/-)-|GNOSCOPINE|1(3H)-ISOBENZOFURANONE, 6,7-DIMETHOXY-3-((5R)-5,6,7,8-TETRAHYDRO-4-METHOXY-6-METHYL-1,3-DIOXOLO(4,5-G)ISOQUINOLIN-5-YL)-, (3S)-REL-|NSC-96350|(+/-)-NOSCAPINE|(+/-)-.ALPHA.-NARCOTINE|1(3H)-ISOBENZOFURANONE, 6,7-DIMETHOXY-3-(5,6,7,8-TETRAHYDRO-4-METHOXY-6-METHYL-1,3-DIOXOLO(4,5-G)ISOQUINOLIN-5-YL)-, (R*,S*)-|DL-NARCOTINE|.ALPHA.-GNOSCOPINE|NOSCAPINE DL-FORM",GNOSCOPINE,chemical,7c96e97a-c0cb-4734-83b8-133f8df9a37f,GNOSCOPINE,6035-40-1,,,,,,,,,C22H23NO7,,CN1CCc2cc3c(c(c2[C@@H]1[C@@H]4c5ccc(c(c5C(=O)O4)OC)OC)OC)OCO3,INGREDIENT SUBSTANCE,,,,
27209,13040-29-4,13040-29-4,,,,,,,,,,,,,,,M5187,,,,,VRC5V0Z4HI,,,,,,,"ETIOPORPHYRIN MAGNESIUM|MAGNESIUM, (2,7,13,17-TETRAETHYL-3,8,12,18-TETRAMETHYL-21H,23H-PORPHINATO(2-)-N21,N22,N23,N24)-, (SP-4-1)-|MAGNESIUM, (2,8,13,18-TETRAETHYL-3,7,12,17-TETRAMETHYLPORPHINATO(2-))-|21H,23H-PORPHINE, 2,7,13,17-TETRAETHYL-3,8,12,18-TETRAMETHYL-, MAGNESIUM COMPLEX|ETIOPORPHYRIN, MAGNESIUM SALT|ETIOPORPHYRIN MAGNESIUM SALT",ETIOPORPHYRIN MAGNESIUM,chemical,7cc71aca-76e1-41e3-9923-04c4a4c224b1,ETIOPORPHYRIN MAGNESIUM,13040-29-4,,,,,,,,,C32H36N4.Mg,BBQMZGQBMWUGSI-RGGAHWMASA-N,CCc\1c(/c/2c/c3n/c(c\c4c(c(c([n-]4)/cc/5\nc(/cc1\[n-]2)C(=C5CC)C)C)CC)/C(=C3C)CC)C.[Mg+2],INGREDIENT SUBSTANCE,Q27291983,Q27291983,BBQMZGQBMWUGSI-UHFFFAOYSA-N,
27223,7558-63-6|25677-11-6,7558-63-6,,INS-624,,,231-447-1,,,,,,,INS-624,INS-624,,,,,,,245K560GAW,,,,,,,AMMONIUM GLUTAMATE|MONOAMMONIUM L-GLUTAMATE|E-624|INS-624|INS NO.624|MONOAMMONIUM L-GLUTAMATE MONOHYDRATE|E 624|MONOAMMONIUM GLUTAMATE,AMMONIUM GLUTAMATE,chemical,7cddcd2a-40ca-4fa0-b23c-bf65fdf8680e,AMMONIUM GLUTAMATE,7558-63-6,231-447-1,,,,,,,,C5H9NO4.H3N,PHKGGXPMPXXISP-DFWYDOINSA-N,C(CC(=O)O)[C@@H](C(=O)O)N.N,INGREDIENT SUBSTANCE,Q8213959,Q8213959,PHKGGXPMPXXISP-UHFFFAOYSA-N,
27238,14816-18-3,14816-18-3,,,,,238-887-3,,598800,SUB09797MIG,,2565.0,,,,,M8748,C003135,C80605,,,6F5V775VPO,,,,QP53AF01,PHOXIM,,"PHOXIM|PHENYLGLYOXYLNITRILE OXIME O,O-DIETHYL PHOSPHOROTHIOATE|BAYER 9053|BAY 77488|BAYTHION|SEBACIL (INSECTICIDE)|VALEXON|VOLATON|(E,Z)-N-((DIETHOXYPHOSPHOROTHIOYL)OXY)BENZENECARBOXIMIDOYL CYANIDE|PHOXIME|BAY-77488|فوكسيم|phoxime|phoximum|肟硫磷|foxima|фоксим",PHOXIM,chemical,7cef2838-ac76-4775-8765-8170cf376fab,PHOXIM,14816-18-3,238-887-3,C80605,,,,,,2565.0,C12H15N2O3PS,ATROHALUCMTWTB-UHFFFAOYSA-N,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,INGREDIENT SUBSTANCE,Q164403,Q164403,ATROHALUCMTWTB-WYMLVPIESA-N,
27251,14433-91-1|7018-07-7,7018-07-7,,,,,,,,,,,,,,,,,C76080,,142131,R17X820ROL,,A12CC05,,QA12CC05,MAGNESIUM ASPARTATE,,"MAGNESIUM ASPARTATE|ASPARTIC ACID, MAGNESIUM SALT|DIHYDROGEN BIS(L-ASPARTATO(2-)-N,O1)MAGNESATE(2-)|MAGNESATE(2-), BIS(L-ASPARTATO(2-)-N,O1)-, DIHYDROGEN, (.BETA.-4)-|MAGNESIUM ASPARTATE TETRAHYDRATE|MAGNESATE(2-), BIS(L-ASPARTATO(2-)-.KAPPA.N,.KAPPA.O1)-, DIHYDROGEN, (T-4)-|L-ASPARTIC ACID, MAGNESIUM SALT, HYDRATE (2:1:4)|ASPARTIC ACID, L-, MAGNESIUM SALT (2:1), TETRAHYDRATE|ASPARTIC ACID, MAGNESIUM SALT (2:1), TETRAHYDRATE|(+)-MAGNESIUM ASPARTATE TETRAHYDRATE|ASPARTIC ACID, MAGNESIUM SALT (2:1), TETRAHYDRATE, L-",MAGNESIUM ASPARTATE,chemical,7cff4c57-a2c4-40be-9c8c-5ac5838f6d28,MAGNESIUM ASPARTATE,7018-07-7,,C76080,142131.0,,,,,,2C4H5NO4.2H+.Mg.4H2O,,,INGREDIENT SUBSTANCE,,,,
27370,484-68-4,484-68-4,,,,,,,,,,,,,,,,,,,,N55OCE7X7M,,,,,,,"METHYLINOSITOL, (+/-)-|CHIRO-INOSITOL, 3-O-METHYL-|(+/-)-PINITOL|DL-PINITOL|NSC-43336","METHYLINOSITOL, (+/-)-",chemical,7d9300cb-4dce-4571-8c27-5b933a480203,"METHYLINOSITOL, (+/-)-",484-68-4,,,,,,,,,C7H14O6,,CO[C@H]1[C@@H]([C@H]([C@H]([C@@H]([C@@H]1O)O)O)O)O,INGREDIENT SUBSTANCE,,,,
27406,73547-70-3,73547-70-3,,,,,,,,,,,,,,,,,C98229,,,8ORW199D1G,,,,,,,"CEFTAZIDIME DIHYDROCHLORIDE|1-(((6R,7R)-7-(((2Z)-(2-AMINO-4-THIAZOLYL)((1-CARBOXY-1-METHYLETHOXY)IMINO)ACETYL)AMINO)-2-CARBOXY-8-OXO-5-THIA-1-AZABICYCLO(4.2.0)OCT-2-EN-3-YL)METHYL)PYRIDINIUM CHLORIDE MONOHYDROCHLORIDE",CEFTAZIDIME DIHYDROCHLORIDE,chemical,7dbd4815-5bb1-4373-84f4-f808ea8437f5,CEFTAZIDIME DIHYDROCHLORIDE,73547-70-3,,C98229,,,,,,,C22H21N6O7S2.H+.2ClH,,,INGREDIENT SUBSTANCE,,,,
27430,1345-25-1,1345-25-1,,,,,215-721-8,,,,,,,,,,M5349,C034236,,,1363047,G7036X8B5H,,,,,IRON(II) OXIDE,,FERROUS OXIDE|IRON MONOXIDE|IRON(II) OXIDE|C.I. 77489|IRON OXIDE (FEO)|CI 77489|IRON OXIDES,FERROUS OXIDE,chemical,7dd13187-fa5f-4976-96ff-0f6d7620ef9b,FERROUS OXIDE,1345-25-1,215-721-8,,1363047.0,,,,,,Fe.O,VBMVTYDPPZVILR-UHFFFAOYSA-N,[O-2].[Fe+2],INGREDIENT SUBSTANCE,Q196680,Q196680,UQSXHKLRYXJYBZ-UHFFFAOYSA-N,
27438,27927-59-9,27927-59-9,,,,,,,,,,,,,,,,,,,,B01J240B7J,,,,,,,"1-PENTANONE, 4-HYDROXY-1-PHENYL-|VALEROPHENONE, 4-HYDROXY-|4-HYDROXY-1-PHENYL-1-PENTANONE",4-HYDROXY-1-PHENYL-1-PENTANONE,chemical,7ddafd41-0d46-4624-875d-ed4db9e9e529,4-HYDROXY-1-PHENYL-1-PENTANONE,27927-59-9,,,,,,,,,C11H14O2,,CC(CCC(=O)c1ccccc1)O,INGREDIENT SUBSTANCE,,,,
27488,15829-53-5,15829-53-5,,,,,239-934-0,,,,,,,,,,M317,,,,,0I308SWC92,,,,,,,MERCURY OXIDE (HG2O)|MERCUROUS OXIDE (HG2O)|MERCURY OXIDE BLACK|MERCURY(I) OXIDE|MERCUROUS OXIDE|MERCURY OXIDE,MERCUROUS OXIDE,chemical,7e0eb6fb-92ae-4516-b653-17deb27f4412,MERCUROUS OXIDE,15829-53-5,239-934-0,,,,,,,,2Hg.O,GPQUEUOSGZMUQE-UHFFFAOYSA-N,[O-2].[Hg+].[Hg+],INGREDIENT SUBSTANCE,Q172411,Q172411,RPZHFKHTXCZXQV-UHFFFAOYSA-N,
27500,314-13-6,314-13-6,,,,,206-242-5,,,,,,,,,,M5218,D005070,C65605,,4191,45PG892GO1,,,,,EVANS BLUE,,"EVANS BLUE|1,3-NAPHTHALENEDISULFONIC ACID, 6,6'-((3,3'-DIMETHYL(1,1'-BIPHENYL)-4,4'-DIYL)BIS(AZO))BIS(4-AMINO-5-HYDROXY)-, TETRASODIUM SALT|DIRECT BLUE 53 TETRASODIUM SALT|AZOVAN BLUE|EVAN'S BLUE|DYE EVANS BLUE",EVANS BLUE,chemical,7e1b2d95-e4af-4570-99bd-d9384345a7c1,EVANS BLUE,314-13-6,206-242-5,C65605,4191.0,,,,,,C34H24N6O14S4.4Na,ATNOAWAQFYGAOY-GPTZEZBUSA-J,Cc1c(ccc(c1)c2cc(c(cc2)/N=N/c3c(c4c(c(cc(c4cc3)S(=O)(=O)[O-])S(=O)(=O)[O-])N)O)C)/N=N/c5c(c6c(c(cc(c6cc5)S(=O)(=O)[O-])S(=O)(=O)[O-])N)O.[Na+].[Na+].[Na+].[Na+],INGREDIENT SUBSTANCE,Q5415983,Q5415983,KBNIFDASRCWYGC-KUDYKLHASA-J,
27558,14912-44-8,14912-44-8,,,,,,,,,,,,,,,M11567,,,,,05V1KJO52Z,,,,,,,"YLANGENE|TRICYCLO(4.4.0.0(2,7))DEC-3-ENE, 1,3-DIMETHYL-8-(1-METHYLETHYL)-, STEREOISOMER|TRICYCLO(4.4.0.02,7)DEC-3-ENE, 1,3-DIMETHYL-8-(1-METHYLETHYL)-, (1S,2R,6R,7R,8S)-|TRICYCLO(4.4.0.02,7)DEC-3-ENE, 8-ISOPROPYL-1,3-DIMETHYL-, (1S,2R,6R,7R,8S)-(+)-|(+)-YLANGENE|(+)-.ALPHA.-YLANGENE|D-YLANGENE|.ALPHA.-YLANGENE|YLANGENE, (+)-|.ALPHA.-YLANGENE, (+)-|YLANGENE, ALPHA-",YLANGENE,chemical,7e6044ab-d211-4c66-ab13-7e9b6728b2c7,YLANGENE,14912-44-8,,,,,,,,,C15H24,VLXDPFLIRFYIME-QRTUWBSPSA-N,CC1=CC[C@@H]2[C@@H]3[C@H]1[C@]2(CC[C@H]3C(C)C)C,INGREDIENT SUBSTANCE,Q22026403,Q22026403,VLXDPFLIRFYIME-KHMAMNHCSA-N,
27613,78548-84-2|29908-03-0,29908-03-0,,,,DB00118,249-946-8,,,SUB05266MIG,,5479.0,,,,867,M1414,D012436,C100098,,9504,7LP2MPO46S,,A16AA02,,,,,ADEMETIONINE|S-ADENOSYLMETHIONINE|ADOMET|SAME|5'-((3S)-(3-AMINO-3-CARBOXYPROPYL)METHYLSULFONIO)-5'-DEOXYADENOSINE INNER SALT|S-(5'-DESOXYADENOSIN-5'-YL)-L-METHIONINE|TRANSMETIL|SAM-E|ADENOSYLMETHIONINE|MSI-195|أديميتيونين|adémétionine|ademetioninum|腺苷甲硫氨酸|ademetionina|адеметионин,ADEMETIONINE,chemical,7eadab01-11ca-4971-9268-29ed65819568,ADEMETIONINE,29908-03-0,249-946-8,C100098,9504.0,,,,,5479.0,C15H22N6O5S,,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O,INGREDIENT SUBSTANCE,Q27135598,Q201312,,
27642,57361-83-8,,,,,,,,,,,,,,,,,,,,,X6H4WH8NA6,,,,,,,"HEPTADECANOIC ACID, 16-METHYL-, 2-HYDROXY-1-(HYDROXYMETHYL)ETHYL ESTER|.BETA.-MONOISOSTEARIN|GLYCERYL 2-ISOSTEARATE",GLYCERYL 2-ISOSTEARATE,chemical,7ecdeff0-2e7f-43a4-906e-198e998b0fd6,GLYCERYL 2-ISOSTEARATE,57361-83-8,,,,,,,,,C21H42O4,,CC(C)CCCCCCCCCCCCCCC(=O)OC(CO)CO,INGREDIENT SUBSTANCE,,Q27293603,,
27680,203737-93-3,203737-93-3,,,,,,,,,,8261.0,,,,,,C468128,C83849,,,W8I9H2TPPL,,,,,,,"ISTAROXIME|ANDROSTANE-3,6,17-TRIONE, 3-(O-(2-AMINOETHYL)OXIME), (5.ALPHA.)-|PST-2744|إيستاروكسيم|istaroxime|istaroximum|伊司他肟|istaroxima|истароксим",ISTAROXIME,chemical,7ef508dc-ad90-4d1f-8997-f751e9da4312,ISTAROXIME,203737-93-3,,C83849,,,,,,8261.0,C21H32N2O3,MPYLDWFDPHRTEG-IFVNMTGRSA-N,C[C@]12CCC(=NOCCN)C[C@@H]1C(=O)C[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C,INGREDIENT SUBSTANCE,Q4204315,Q4204315,MPYLDWFDPHRTEG-PAAYLBSLSA-N,
27718,13682-92-3,13682-92-3,,,,DB01375,237-193-8,,,,,,,,,,M4471,,C87483,,1543414,1K713C615K,,,,,,,"DIHYDROXYALUMINUM AMINOACETATE ANHYDROUS|(GLYCINATO-N,O)DIHYDROXYALUMINUM|DIHYDROXY(GLYCINATO)ALUMINUM|ALUMINUM AMINOACETATE (BASIC)|ALUMINUM DIHYDROXYAMINOACETATE|DIHYDROXYALUMINIUM AMINOACETATE ANHYDROUS|(GLYCINATO-N,O)DIHYDROXYALUMINIUM|DIHYDROXY(GLYCINATO)ALUMINIUM|ALUMINIUM AMINOACETATE (BASIC)|ALUMINIUM DIHYDROXYAMINOACETATE|(GLYCINATO)DIHYDROXOALUMINUM|ALAMINE|ALDIMATE|ALGLYN|ALMINATE|ALUBASINE|ALUMINUM GLYCINATE|ALUMINUM, (GLYCINATO)|ALUMINUM, (GLYCINATO-.KAPPA.N,.KAPPA.O)DIHYDROXY-, (T-4)-|ALUMINUM, (GLYCINATO-N,O)DIHYDROXY-, (T-4)-|ALUMINUM, DIHYDROXY(GLYCINATO)-|ALZINOX|ASPOGEN|BASIC ALUMINUM GLYCINATE|DIHYDROXYALUMINUM GLYCINATE|DIMOTHYN|DORAXAMIN|ELCOSAL|GLYCINAL|ROBALATE|DIHYDROXYALUMINUM AMINOACETATE|ALUMINIUM GLYCINATE",DIHYDROXYALUMINUM AMINOACETATE ANHYDROUS,chemical,7f1b5154-0c5f-40d2-97c7-74a828966247,DIHYDROXYALUMINUM AMINOACETATE ANHYDROUS,13682-92-3,237-193-8,C87483,1543414.0,,,,,,C2H4NO2.Al.2HO,BWZOPYPOZJBVLQ-UHFFFAOYSA-K,C(C(=O)[O-])N.[OH-].[OH-].[Al+3],INGREDIENT SUBSTANCE,Q4737384,Q4737384,RBNPZEHAODHBPZ-UHFFFAOYSA-M,
27766,17093-76-4,17093-76-4,,,,,,,,,,,,,,,M6134,,,,,617023YYQ5,,,,,,,"THREO-.BETA.-HYDROXY-DL-GLUTAMIC ACID|D-GLUTAMIC ACID, 3-HYDROXY-, (3S)-REL-|GLUTAMIC ACID, 3-HYDROXY-, DL-THREO-|THREO-3-HYDROXYGLUTAMIC ACID|.BETA.-HYDROXY-DL-GLUTAMIC ACID, THREO-|HYDROXYGLUTAMIC ACID DL-THREO-FORM",".BETA.-HYDROXY-DL-GLUTAMIC ACID, THREO-",chemical,7f576fe6-ed8e-4e70-9e9d-06731b91c426,".BETA.-HYDROXY-DL-GLUTAMIC ACID, THREO-",17093-76-4,,,,,,,,,C5H9NO5,,C([C@H]([C@@H](C(=O)O)N)O)C(=O)O,INGREDIENT SUBSTANCE,,,,
27806,496835-35-9|1416130-63-6,496835-35-9,,,,,,,,,,,,,,,,,,,,9T49W8GAX6,,,,,AILDENAFIL,,"AILDENAFIL|METHISOSILDENAFIL|7H-PYRAZOLO(4,3-D)PYRIMIDIN-7-ONE, 5-(5-(((3R,5S)-3,5-DIMETHYL-1-PIPERAZINYL)SULFONYL)-2-ETHOXYPHENYL)-1,6-DIHYDRO-1-METHYL-3-PROPYL-, REL-|DIMETHYL SILDENAFIL|DIMETHYLSILDENAFIL",AILDENAFIL,chemical,7f89e9c9-eaa0-420f-b876-117dabc641d6,AILDENAFIL,496835-35-9,,,,,,,,,C23H32N6O4S,NFSWSZIPXJAYLR-GASCZTMLSA-N,CCCc1c2c(c(=O)nc([nH]2)c3cc(ccc3OCC)S(=O)(=O)N4C[C@H](N[C@H](C4)C)C)n(n1)C,INGREDIENT SUBSTANCE,Q15410232,Q15410232,NFSWSZIPXJAYLR-UHFFFAOYSA-N,
27851,25617-97-4,25617-97-4,,,,,247-129-0,,,,,,,,,,M5651,,,,,1R9CC3P9VL,,,,,GALLIUM NITRIDE,,GALLIUM NITRIDE (GAN)|GALLIUM NITRIDE|GALLIUM MONONITRIDE,GALLIUM NITRIDE (GAN),chemical,7fbeb20a-f947-4c8d-8483-5886ae66e4d0,GALLIUM NITRIDE (GAN),25617-97-4,247-129-0,,,,,,,,Ga.N,LEXJTYMROJPGNO-UHFFFAOYSA-N,[N-3].[Ga+3],INGREDIENT SUBSTANCE,Q411713,Q411713,JMASRVWKEDWRBT-UHFFFAOYSA-N,
27854,75881-23-1|12040-44-7|33864-99-2,33864-99-2,,,,,,,,,,,,,,,,,,,,P4448TJR7J,,,,,,,ALCIAN BLUE|ALCIAN BLUE 8GX|INGRAIN BLUE 1|ALCIAN BLUE 8GS|ALCIAN BLUE 8G,ALCIAN BLUE 8GS,chemical,7fc6a0ea-2aa0-4ab4-8619-929093402607,ALCIAN BLUE 8GS,33864-99-2,,,,,,,,,C56H68N16S4.4Cl.Cu,CKLBXIYTBHXJEH-UHFFFAOYSA-J,CN(C)C(=[N+](C)C)SCc1ccc2c(c1)c/3[n-]c2/nc/4\nc(/nc\5/c6cc(ccc6/c(/[n-]5)n/c-7n/c(n3)/c8c7cc(cc8)CSC(=[N+](C)C)N(C)C)CSC(=[N+](C)C)N(C)C)-c9c4cc(cc9)CSC(=[N+](C)C)N(C)C.[Cl-].[Cl-].[Cl-].[Cl-].[Cu+2],INGREDIENT SUBSTANCE,Q520633,Q520633,KDXHLJMVLXJXCW-UHFFFAOYSA-J,
27869,156674-11-2,156674-11-2,,,,,,,,,,,,,,,,,,,,1Z23WB033I,,,,,,,"BUCETIN, (+)-|BUTANAMIDE, N-(4-ETHOXYPHENYL)-3-HYDROXY-, (+)-|(+)-BUCETIN","BUCETIN, (+)-",chemical,7fd72a8b-c2ef-4781-8711-c99bd6e072b4,"BUCETIN, (+)-",156674-11-2,,,,,,,,,C12H17NO3,,CCOc1ccc(cc1)NC(=O)CC(C)O,INGREDIENT SUBSTANCE,,,,
27922,14325-03-2,14325-03-2,,,,,,,,,,,,,,,,,,,,63AAN3JDZE,,,,,,,"COBALT PROTOPORPHYRIN|COBALTATE(2-), (7,12-DIETHENYL-3,8,13,17-TETRAMETHYL-21H,23H-PORPHINE-2,18-DIPROPANOATO(4-)-.KAPPA.N21,.KAPPA.N22,.KAPPA.N23,.KAPPA.N24)-, HYDROGEN (1:2), (SP-4-2)-|COBALT, (DIHYDROGEN 3,7,12,17-TETRAMETHYL-8,13-DIVINYL-2,18-PORPHINEDIPROPIONATO(2-))-|COBALT, (DIHYDROGEN PROTOPORPHYRIN IX-ATO(2-))-|COBALTATE(2-), (7,12-DIETHENYL-3,8,13,17-TETRAMETHYL-21H,23H-PORPHINE-2,18-DIPROPANOATO(4-)-N21,N22,N23,N24)-, DIHYDROGEN, (SP-4-2)-|COBALTATE(2-), (7,12-DIETHENYL-3,8,13,17-TETRAMETHYL-21H,23H-PORPHINE-2,18-DIPROPANOATO(4-)-.KAPPA.N21,.KAPPA.N22,.KAPPA.N23,.KAPPA.N24)-, DIHYDROGEN, (SP-4-2)-|21H,23H-PORPHINE-2,18-DIPROPANOIC ACID, 7,12-DIETHENYL-3,8,13,17-TETRAMETHYL-, COBALT COMPLEX|COBALT PROTOPORPHYRIN IX|COBALT(II) PROTOPORPHYRIN IX|COBALT-HEME|NSC-267101",COBALT PROTOPORPHYRIN,chemical,801a6f1c-d401-4d7b-b450-2e8f920a6de8,COBALT PROTOPORPHYRIN,14325-03-2,,,,,,,,,C34H32N4O4.Co,PZVPSKRBVYHPFM-RGGAHWMASA-L,Cc1/c/2c/c3n/c(c\c4c(c(c([nH]4)/cc/5\nc(/cc(/c1CCC(=O)[O-])\[nH]2)C(=C5C)CCC(=O)[O-])C)C=C)/C(=C3C=C)C.[Co+2],INGREDIENT SUBSTANCE,Q27263592,Q27263592,HIBZUMSNBFMSDY-UHFFFAOYSA-L,
